DATE,bond_yields
10-08,3.81
11-08,3.53
12-08,2.42
1-09,2.52
2-09,2.87
3-09,2.82
4-09,2.93
5-09,3.29
6-09,3.72
7-09,3.56
8-09,3.59
9-09,3.4
10-09,3.39
11-09,3.4
12-09,3.59
1-10,3.73
2-10,3.69
3-10,3.73
4-10,3.85
5-10,3.42
6-10,3.2
7-10,3.01
8-10,2.7
9-10,2.65
10-10,2.54
11-10,2.76
12-10,3.29
1-11,3.39
2-11,3.58
3-11,3.41
4-11,3.46
5-11,3.17
6-11,3
7-11,3
8-11,2.3
9-11,1.98
10-11,2.15
11-11,2.01
12-11,1.98
1-12,1.97
2-12,1.97
3-12,2.17
4-12,2.05
5-12,1.8
6-12,1.62
7-12,1.53
8-12,1.68
9-12,1.72
10-12,1.75
11-12,1.65
12-12,1.72
1-13,1.91
2-13,1.98
3-13,1.96
4-13,1.76
5-13,1.93
6-13,2.3
7-13,2.58
8-13,2.74
9-13,2.81
10-13,2.62
11-13,2.72
12-13,2.9
1-14,2.86
