"COUNTRY","Economy","VERSION","Version","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2000","2000",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2001","2001",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2002","2002",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2003","2003",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2004","2004",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2005","2005",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2006","2006",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2007","2007",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2008","2008",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2009","2009",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2010","2010",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2011","2011",8.1,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2012","2012",5.4,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2013","2013",5.4,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2014","2014",5.4,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2015","2015",5.4,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2016","2016",5.4,,
"AUS","Australia","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2017","2017",5.4,,
"CAN","Canada","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2000","2000",17,,
"CAN","Canada","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2001","2001",16.5,,
"CAN","Canada","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2002","2002",17,,
"CAN","Canada","2018","2018","CRUDENOMINAL","Nominal crude steelmaking capacity","2003","2003",17,,
